AwayEFG,AwayFT/FGA,AwayORB,AwayScore,AwayTOV,HomeEFG,HomeFT/FGA,HomeORB,HomeScore,HomeTOV,pace,url
0.436,0.256,23.1,97,11,0.547,0.188,29.7,109,13,93.6,http://www.basketball-reference.com/boxscores/201511210CLE.html
0.532,0.179,23.1,97,11.2,0.506,0.19,19.5,95,12.8,89.3,http://www.basketball-reference.com/boxscores/201511210DET.html
0.5,0.338,42.2,107,10.4,0.506,0.247,38.1,102,11.4,84.6,http://www.basketball-reference.com/boxscores/201511210HOU.html
0.462,0.165,29.5,86,20.8,0.599,0.154,26.8,123,12.2,98.5,http://www.basketball-reference.com/boxscores/201511210IND.html
0.439,0.232,21.7,91,14.7,0.471,0.449,21.4,96,15.3,94.9,http://www.basketball-reference.com/boxscores/201511210MIA.html
0.426,0.346,22.2,97,12.9,0.462,0.065,28.8,91,15.1,95.5,http://www.basketball-reference.com/boxscores/201511210ORL.html
0.439,0.23,17.5,82,16.4,0.521,0.236,20,92,17.2,89.3,http://www.basketball-reference.com/boxscores/201511210SAS.html
0.512,0.207,22.2,101,15.7,0.538,0.329,35.9,111,13,93.7,http://www.basketball-reference.com/boxscores/201511220BRK.html
0.612,0.101,28.2,118,18.1,0.453,0.314,27.1,105,15.8,103.7,http://www.basketball-reference.com/boxscores/201511220DEN.html
0.397,0.372,31.8,91,13.3,0.439,0.203,27.3,80,18.7,87.8,http://www.basketball-reference.com/boxscores/201511220LAC.html
0.54,0.149,16.3,107,9.6,0.398,0.261,29.4,93,9.1,93.7,http://www.basketball-reference.com/boxscores/201511220LAL.html
0.483,0.322,22,116,12.6,0.524,0.388,22.2,122,12,104.7,http://www.basketball-reference.com/boxscores/201511220NOP.html
0.59,0.193,25,114,15.1,0.572,0.156,34.1,117,14,99.1,http://www.basketball-reference.com/boxscores/201511220OKC.html
0.538,0.096,16.7,122,15.3,0.546,0.204,17.4,127,14.8,108.4,http://www.basketball-reference.com/boxscores/201511230CHO.html
0.556,0.16,21.4,103,10,0.642,0.16,21.1,117,9.9,90.6,http://www.basketball-reference.com/boxscores/201511230CLE.html
0.345,0.207,27.3,78,10.3,0.414,0.346,32,95,8.5,88.2,http://www.basketball-reference.com/boxscores/201511230MIA.html
0.374,0.22,40,88,14.3,0.572,0.169,31.6,109,11.7,90.1,http://www.basketball-reference.com/boxscores/201511230MIL.html
0.474,0.269,25,95,17.5,0.481,0.321,21.1,100,15.9,95.9,http://www.basketball-reference.com/boxscores/201511230MIN.html
